word,pos,definition
libretto,,
lifeboat,,
lifesaver,,
lifetime,,
ligament,noun,band of strong tissue that holds bones together
light,adjective,"The definition of light is being pale, not deep or dark."
,noun,Light is defined as radiation that acts upon on the retina of the eye to make site possible.
,verb,Light means to make something burn or illuminate.
lighten,verb,"reduce the amount of work, debt, worry, etc that sb has"
,verb,(cause sth to) become brighter or lighter in colour
,verb,"(cause sb to) feel less sad, worried or serious"
,verb,make sth lighter in weight
lighter,noun,"device for lighting cigarettes, etc"
lighthearted,,
lighthouse,,
lighting,,
ligneous,,
like,adjective,Like means similar or nearly the same.
,noun,The definition of a like is a preference or something that one enjoys.
,verb,Like is defined as to enjoy or agree with something.
like-minded,adjective,"The definition of like minded is having similar ideas, tastes, thoughts or opinions."
likeable,,
likelihood,noun,probability
liken,verb,compare one thing or person to another and say they are similar
likeness,noun,(instance of) being similar in appearance
liking,noun,feeling that you like sb/sth
,noun,satisfactory
lilac,noun,bush with sweet-smelling pale purple or white flowers
,noun,pale purple colour
Lilliputian,,
lily,noun,plant that grows from a bulb and has large usu white flowers
limber,verb,"exercise your muscles before a race, etc"
limbo,noun,The definition of limbo is a dance where you have to duck lower and lower to get underneath a pole without touching the pole or the ground.
,noun,"Limbo is defined as a state where you uncertainly await something important, such as a decision about your future or, in some Christian religions, a place where babies go after they die if they have not been baptized."
,verb,To limbo means to do a dance where you have to duck and bend to get under a pole without touching the pole or the ground.
limestone,,
limitless,,
limn,,
limousine,noun,large luxurious car with the driver's seat separated from the passengers in the back
line-up,,
lineaments,,
linen,noun,"(cloth for making) sheets, tablecloths, etc"
liner,noun,large passenger ship
,noun,构成复合词/
,noun,something put inside sth to protect it
linesman,noun,official who says whether a ball has gone outside the limits during a game
lining,noun,layer of material used to cover the inside surface of sth
linkage,,
lioness,,
lionize,,
lipid,,
lipstick,,
liquefy,,
liquor,noun,strong alcoholic drink
listener,,
listing,,
lithograph,,
litotes,,
litre,noun,"metric unit of capacity, used for measuring liquids"
littermate,,
little,adjective,"The definition of little is small in size, quantity or importance."
,adverb,Little is defined as only slightly or not much.
live,adjective,"The definition of live is seeing or hearing a performance as it is happening, not prerecorded."
,verb,"Live is defined as to have life, continue to be alive, to reside somewhere or to behave throughout one's life in a particular way."
live-in,adjective,The definition of live in is someone who resides in your home with you permanently or on a full time basis.
liven,verb,(cause sb/sth to) become more interesting and exciting
living room,,
lizard,noun,small four-legged reptile with a long tail
loaded,,
lobe,noun,"part of an organ in the body, esp the lungs or brain"
lobster,noun,shellfish with eight legs and two claws
,noun,"meat from a lobster, eaten as food"
local authority,,
locality,noun,district; place
locked,,
locker,noun,"small cupboard that can be locked, used for storing clothes, luggage, etc"
locomotive,noun,railway engine
lodging,noun,temporary accommodation
,noun,room or rooms in sb else's house that you rent to live in
logistic,adjective,The definition of logistic is something that relates to coordinating complex projects or movements or solving complicated problems.
logo,noun,The definition of a logo is a sign or symbol that identifies a company or a brand.
,noun,Logo is defined as a simple computer programming language for children.
London,,
lone,adjective,without any other people or things
loneliness,,
long,adjective,The definition of long is an extended distance or an extended period of time.
long-range,,
long-standing,,
long-term,,
long-time,,
longitudinal,,
loon,,
loosen,,
lop,verb,"cut branches, etc off a tree"
lope,,
loquacity,,
loser,noun,"The definition of a loser is a person who is defeated or disadvantaged, is habitually failing or who is considered unpopular."
lost,adjective,The definition of lost is missing or unable to be found or it can mean something that was wasted or not used in a valuable way.
,verb,Lost is defined as the past tense of to lose.
lost-and-found,,
loth,,
lotion,noun,"liquid used for cleaning, protecting or treating the skin"
lotus,,
loudspeaker,,
lout,noun,The definition of a lout is a person without social manners.
low,adjective,"The definition of low is something with little height, emotionally depressed, below the surface level, quiet or deep in pitch."
lowbrow,,
loyalist,,
lp,,
lubricant,,
lubricate,verb,"put oil, etc on sth such as the parts of a machine, to help them move smoothly"
lubrication,,
lucidity,,
lucre,,
luminance,,
lumpen,,
lunchtime,,
lute,,
luxe,,
luxuriant,adjective,(of plants or hair) growing thickly and strongly
lychee,,
lyricism,,
lyricist,,
macaque,,
macaroni,noun,pasta in the form of hollow tubes
mace,noun,ornamental stick carried by an official as a sign of authority
,noun,"dried outer covering of nutmegs, used in cooking as a spice"
macerate,,
Machiavellian,adjective,The definition of Machiavellian is related to the crafty and deceitful principles in Machiavelli's book The Prince.
,noun,Machiavellian is defined as a person who follows Machiavelli's ideas of deceitfulness in The Prince.
machinations,,
machine gun,,
mackintosh,noun,coat made of rainproof material
macroeconomic,,
madden,verb,make sb very angry
made-up,adjective,The definition of made up is a person who is wearing lots of cosmetics on his or her face.
,adjective,Made up is defined as something that is not true or that is imaginary.
,verb,Made up means two people who had a fight have reconciled and gotten over it.
madrigal,noun,"song for several singers, usu without musical instruments, popular in the 16th century"
mafia,,
maggot,noun,creature like a short worm that is the young form of a fly
magical,,
magician,,
magisterial,,
maglev,,
magnetism,,
magnetosphere,,
magnificence,noun,The definition of magnificence is splendor and lavishness.
magniloquent,,
magpie,noun,noisy black and white bird that likes to collect bright objects
mahogany,noun,dark brown wood used for making furniture
mail order,,
mailbox,,
main land,,
main stream,,
mainland,,
mainly,,
mainspring,,
maize,noun,tall plant grown for its large yellow grains that are used for making flour or eaten as a vegetable
majesty,noun,impressive and attractive quality that sth has
,noun,title of respect used when speaking to or about a king or queen
make,noun,The definition of make is the style or way in which something is produced.
,verb,Make is defined as to produce something.
make-up,noun,cosmetics
,noun,different qualities that combine to form a person's character
,noun,"different things, people, etc that combine to form sth"
maker,noun,"person, company, etc that makes or produces sth"
,noun,God
maladaptive,,
maladjusted,adjective,having mental and emotional problems that lead to unacceptable behaviour
maladministration,,
malaria,noun,serious fever caught from mosquito bites
malcontent,,
malformation,noun,(state of having a) part of the body that is not formed correctly
malformed,,
malignancy,,
mall,,
mallet,noun,hammer with a wooden head
malt,noun,"grain, esp barley, used for making beer, whisky, etc"
maltreat,verb,be very cruel to a person or animal
mam,,
man,noun,The definition of a man is a member of the species Homo sapiens or an adult male.
man date,,
manacle,noun,one of a pair of chains for tying a prisoner's hands or feet
,verb,tie up sb with manacles
manageable,,
managerial,,
managing director,,
mane,noun,long hair on the neck of a horse or lion
manger,noun,long open box that horses or cattle can eat from
mango,noun,tropical fruit with soft orange flesh and a large stone inside
mangrove,noun,"The definition of a mangrove is a tropical tree or shrub that grows in swampy areas and has tangled roots located above ground, or a tidal swamp with a number of these types of trees and shrubs."
mangy,adjective,"with patches of hair, fur, etc missing; shabby"
manhood,,
maniacal,,
Manila,,
manned,,
mannered,,
manoeuvre,noun,"Manouevre is defined as the British spelling of maneuver, meaning a skillful move."
,verb,"Manouevre is the British spelling of maneuver, meaning to move in a skillful way."
manor,noun,"The definition of a manor is a mansion, or a house on an estate."
manslaughter,,
mantelpiece,noun,shelf above a fireplace
many,adjective,"The definition of many is an indefinite, large number of people or things."
Maori,,
mar.,,
marble,noun,"kind of hard stone, used, when cut and polished, for building and sculpture"
,noun,small ball of coloured glass that children roll along the ground in a game
,noun,game played with marbles
margarine,noun,"food like butter, made from animal or vegetable fats"
marital,adjective,of marriage
marked,,
marker,,
market share,,
marking,,
marksman,noun,person skilled in shooting accurately
Mars,noun,"The definition of Mars is the fourth planet from the sun.Facts About MarsThe Romans named Mars after their god of war but its nickname is the ""Red Planet,"" named because of its reddish color, caused by the iron oxide in the soil.In 1877 Giovanni Schiaparelli noticed a series of strange lines on the surface of the planet which he deemed canali, or canals. He supposed that these lines were waterways or highways built by alien people on Mars. H.G. Wells’ famous novel, The War of the Worlds, detailed an attack on the human race by Martians. In the 1960s the Mariner spacecraft confirmed that Mars was basically a lifeless planet; however, in 1996, scientists examined a meteorite that came from Mars and found microscopic life on it.Mars has a diameter of 4220 miles, a bit more than half the size of Earth.A day on Mars is approximately 24 hours and 39 ½ minutes. Mars orbits the Sun every 687 Earth days.It is a cold planet, reaching -207 degrees F. and rarely getting above freezing (32 degrees F.).The poles of Mars are covered in dry ice (carbon dioxide) and the amount of ice varies by season.Basalt makes up the outer surface of Mars, due to the volcanic activity in the past.The 900 mile diameter core of Mars is mostly solid, made of nickel, iron, and sulfur. The outer crust is basalt. The core produces a very weak magnetic field. There is evidence of water under the surface.Mars has the highest mountain in all of the solar system, Olympus Mons. It is an inactive volcano that is 15.5 miles high and 372 miles in diameter.Mars has the biggest canyon system in all of the solar system, the Valles Marineris, which is 2500 miles in length and is four miles deep.Mars has two small moons. Deimos orbits east to west, and Phobos orbits from west to east. They are not spherical and are most likely asteroids. The moons were discovered in 1877, by Asaph Hall, at the U.S. Naval Observatory."
mart,,
Martian,,
martyrdom,noun,"The definition of martyrdom is the state of suffering, or giving one's life for a cause."
marvellous,,
Marxism,noun,The definition of Marxism is the theory of Karl Marx which says that society's classes are the cause of struggle and that society should have no classes.
Marxist,,
masterful,adjective,able to control people or situations confidently
masterly,adjective,very skilful
mastermind,,
mastery,noun,great skill or knowledge
,noun,control or power
materialise,,
materialist,,
math,noun,"The definition of math is the overall group of sciences that study numbers, shapes and their relationships."
mathematical,,
mathematician,,
maths,,
matrimony,noun,state of being married
matter,noun,"The definition of matter is what something is made of, what all physical things are made of, or something important or a problem."
mattress,noun,"soft part of a bed, that you lie on"
mausoleum,noun,The definition of a mausoleum is a very large tomb or room for burial.
maw,,
maximal,,
maximize,verb,increase sth as much as possible
,verb,make the best use of sth
may,verb,May is defined as possible or permissible.
mazurka,,
meagre,adjective,small in quantity and poor in quality
mealymouthed,,
meaningless,,
meantime,noun,meanwhile
,adverb,meanwhile
meanwhile,adverb,while sth else is happening
,adverb,in the time between two events
measurable,,
meaty,,
mechanization,,
mechanize,verb,"change a process, so that the work is done by machines rather than people"
Med,,
medal,noun,"small round flat piece of metal, given as an honour for bravery or as a prize"
meddlesome,,
mediation,noun,The definition of mediation is a process of negotiation in a relationship to resolve differences.
mediator,,
Medicare,noun,Medicare is defined as a federal health program that pays for some of the medical and hospital expenses of people over 65 years of age using Social Security funds.
medication,noun,drug or medicine used to prevent or treat a disease
medicinal,adjective,(used for) healing
meditative,,
mediterranean,adjective,"The definition of Mediterranean is something related to or characteristic of the Mediterranean Sea, the countries bordering the sea or its inhabitants."
,noun,Mediterranean is defined as the Mediterranean Sea or a native of a country bordering the Mediterranean Sea.
megaphone,noun,"device shaped like a cone, used to make your voice sound louder"
melanin,,
melatonin,,
melodic,,
melon,noun,large round juicy fruit with a hard skin
member of parliament,,
membership,,
membrane,noun,layer of soft thin skin-like tissue
memo,noun,official note from one person to another in the same organization
memorialize,,
memorise,,
memorize,verb,learn sth well enough to remember it exactly
meningitis,noun,serious illness causing inflammation of the outer part of the brain and spinal cord
menopause,noun,gradual stopping of a woman's menstruation usu at around the age of 50
menstrual,,
ment,suffix,"Ment is defined as a result, condition, process or is defined as of doing something."
mentally,,
merchandising,noun,The definition of merchandising is the act of promoting someone or something for sale in a retail store or retail setting.
merciless,,
Mercury,noun,"The definition of mercury is a heavy, silver-white metal with an atomic number of 80 that is liquid at ordinary temperatures.Facts About Mercury As a MetalIts symbol is Hg, from the Latin hydrargyrum, meaning liquid silver.Its boiling point is over 356 degrees Celsius, and it freezes at around minus 38 degrees Celsius.It does not conduct heat very well, but is a fairly good conductor of electricity.It has high surface tension and breaks up when poured or spilled onto a flat area, forming small beads which move around quickly.It is used in thermometers because its expansion when heated is fairly constant, and in barometers because of its density.It can be easily absorbed into your body through the skin, lungs, or by ingesting it.You should never knowingly inhale or ingest mercury. Its vapor can be poisonous in concentrated amounts. It can: Damage your nervous system, cause brain and kidney damage, inhibit your immune system and lead to birth defectsIt was also known as quicksilver, because of its appearance and it is liquid. It is the only metal which is liquid at room temperature.Mercury was known to ancient civilizations including the Egyptians and the Chinese. It has been found in Egyptian tombs dating back to the second century B.C. Some thought it could heal and promote good health and used it as medicine.Medieval alchemists thought that mercury became gold when it was in a solid state."
meridian,adjective,The definition of meridian is at midday or the greatest or highest point.
,noun,"A meridian is defined as a large imaginary circle that passes through two poles, particularly on a globe, or the highest stage of development."
mermaid,noun,(in stories) woman with a fish's tail instead of legs
mesmerise,,
mesoscale,,
messenger,,
Messiah,noun,The definition of a messiah is a savior or leader for some cause.
Met,verb,Met is defined as two or more people or things have come together or connected.
metabolic,,
metallic,,
metalloid,,
metallurgy,,
metalwork,,
metamorphose,,
meteoric,,
meteorite,,
meteorological,,
meteorologist,,
methane,,
methanol,,
methodological,,
metre,noun,metric unit of length
,noun,pattern of stressed and unstressed syllables in poetry
,noun,"system of measurement that uses the metre, kilogram and litre as basic units"
metro,,
mettlesome,,
Mexican,,
Mexico,noun,"Mexico is defined as a North American country south of the United States, with Spanish as its national language."
miasma,noun,The definition of miasma is steam rising from rotting vegetable or animal matter.
mice,noun,Mice are defined as little rodents.
microchip,noun,very small piece of material that has a complicated electronic circuit on it
microorganism,,
microprocessor,noun,small unit of a computer that contains all the functions of the central processing unit
microscopic,,
mid,adjective,The definition of mid is something in the middle.
middle,adjective,The definition of middle is being at a central or intermediate point.
,noun,Middle is defined as the area that is at the center.
middle class,,
middle-aged,,
middleman,,
middling,adjective,"of average size, quality, etc"
midget,noun,very small person
,adjective,very small
midlands,,
midline,,
midterm,,
midway,adverb,halfway
midwife,noun,"person, esp a woman, trained to help women in childbirth"
migraine,noun,very painful headache
migratory,,
mildew,noun,"small white fungus that grows on walls, plants, food, etc in warm wet conditions"
mildly,,
mile,noun,unit of distance; 1760 yards (1609 metres)
,noun,important stage or event in the development of sth
,noun,stone or post at the side of a road showing the distance to a place
,noun,instrument in a vehicle that records the number of miles travelled
militancy,,
militarist,,
militiaman,,
milkman,,
milky,,
milldam,,
miller,,
millet,noun,type of cereal plant producing very small grain
milligram,,
millimetre,,
millinery,,
millionaire,,
millionth,,
millipede,noun,small creature like an insect with many legs
mimetic,,
mimicry,,
min,,
minatory,,
mincing,adjective,The definition of mincing is the actions of someone who acts dainty or refined.
minded,,
mindless,adjective,done or acting without thought and for no particular reason
,adjective,not needing thought
mindset,,
minefield,,
miner,,
minibus,,
minimalist,,
mining,noun,"Mining is defined as extracting metals and minerals from the Earth, or the process of placing explosives where they will explode."
miniskirt,,
ministerial,,
mink,noun,small fierce animal
,noun,valuable shiny brown fur of the mink
minuet,noun,(music for a) slow graceful dance
minus,preposition,less
,preposition,below zero
,preposition,without
,noun,mathematical symbol (-)
,adjective,negative
minutely,,
mired,,
misadventure,noun,"death caused by accident, rather than as a result of a crime"
,noun,bad luck
misanthropy,,
misapprehend,,
misapprehension,,
misappropriate,verb,take sb else's money or property for yourself
misbehaviour,,
miscalculate,verb,"estimate amounts, etc wrongly"
miscarriage,noun,process of giving birth to a baby before it has developed enough to stay alive
,noun,incorrect legal decision
miscellany,noun,collection of things of various kinds
mischance,noun,bad luck
misdirect,,
misguide,,
misguided,adjective,wrong because you have understood or judged a situation badly
misjudge,verb,form a wrong opinion about a person or situation
,verb,"estimate sth, eg time or distance, wrongly"
misleading,,
mismanage,verb,deal with or manage sth badly
mismanagement,,
misogamy,,
misplaced,,
misread,,
misrepresent,verb,give false information about sb/sth
Miss.,,
missing,,
mister,,
mistook,,
mistrust,verb,have no confidence in sb/sth
,noun,lack of confidence; suspicion
misty,,
misunderstand,verb,fail to understand sb/sth correctly
mite,,
mitochondrion,,
mitten,noun,kind of glove that covers the four fingers together and the thumb separately
mixed,,
mixer,,
mm,abbreviation,Mm is defined as millimeter.
,interjection,Mm is defined as a way to say yes or maybe to a question.
mobilise,,
mobility,,
modeling,,
moderator,,
modernisation,,
modernise,,
modernist,,
modernity,noun,"Modernity is the state of being current, or up with the times."
modernization,,
modish,,
modulation,,
mogul,noun,The definition of a mogul is a powerful or rich individual or a bump on a ski slope.
moisten,,
moisturise,,
molasses,,
moldy,,
molecular,,
mollycoddle,,
mom,noun,Mom is a person who has given birth to a child or who has responsibility for the care of children.
momentarily,,
momentary,,
mommy,,
mon.,,
monastic,adjective,of monks or monasteries
Monday,noun,the day of the week after Sunday and before Tuesday
Mongolian,adjective,The definition of Mongolian is a person or thing from the country of Mongolia.
mongrel,noun,dog of mixed breed
monochromatic,,
monologue,noun,The definition of a monologue is a part in a play in which a character speaks alone.
,noun,The definition of a monologue is a speech presented by one person.
monomania,,
monopolise,,
monotheism,noun,Monotheism is the belief in only one God.
monthly,,
moonlight,,
mope,verb,spend your time doing nothing and feeling sorry for yourself
moralist,,
morally,,
more,adverb,"More is defined as something done again, or something that is done or felt to a larger extent."
,pronoun,More means a larger amount or greater number of things.
morgue,noun,building in which dead bodies are kept before a funeral
morphine,noun,"powerful drug made from opium, used to reduce pain"
morphogenetic,,
mortician,noun,The definition of a mortician is an undertaker - a person whose job it is to host funerals for the dead.
mortuary,noun,building or room in which dead bodies are kept before a funeral
Moscow,,
Moslem,,
most,adjective,"The definition of most is the majority or the greatest amount, degree or size."
,adverb,Most is defined as to the highest or greatest level.
,noun,Most means the greatest number of something.
mostly,,
moth,noun,"winged insect, similar to the butterfly that flies mainly at night"
,noun,"small ball of a strong-smelling substance, for keeping moths out of clothes"
,adjective,(of clothes) damaged by moths
,adjective,old and in bad condition
motherland,,
motherly,,
motionless,,
motorbike,,
motorcycle,,
motorist,,
motorway,,
mottle,,
mould,noun,"Mould is the British spelling for mold, which is defined as a container that is used to set something's shape or is a fungus that grows."
mountainous,,
mountebank,,
mounted,,
mounting,,
mourning,noun,Mourning is a feeling and period of sadness after a loss.
mousse,noun,"cold sweet dish made from cream and eggs, flavoured with fruit or chocolate"
moustache,noun,hair allowed to grow on the upper lip
mouthful,,
movable,adjective,that can be moved from one place to another
moving,,
mr,noun,Mr. is defined as a title for a man.
Mr.,,
mrs,noun,Mrs. is defined as a title for a married or widowed woman.
Mrs.,,
ms,noun,Ms. is defined as a title for a woman that does not specify whether or not she is married or widowed.
Ms.,,
mucous,adjective,of or covered with mucus
,noun,moist skin that lines parts of the body such as the nose and mouth
mucus,noun,sticky liquid produced by the mucous membrane eg in the nose
muddy,,
muffin,,
mulberry,noun,(purple or white fruit of a) tree with broad dark green leaves
mulct,,
multicellular,,
multiform,adjective,The definition of multiform is having many shapes.
multiplicative,,
multiplicity,,
mum,adjective,Mum means not talking.
,interjection,Mum is defined as a way to request that someone stop talking.
,noun,"The definition of a mum is a strong beer, a shorter way of referencing the flower chrysanthemum or a British term for mother."
,verb,Mum is defined as to act as a mime or wear a mask to a festival.
mummy,noun,child's word for a mother
,noun,dead body that has been mummified
mumps,noun,"disease, esp of children, that causes painful swellings in the neck"
munitions,noun,"military supplies, esp bombs and guns"
murderous,,
musculature,,
musically,,
musk,,
musky,,
muslim,noun,The definition of a Muslim is a person who follows and practices the beliefs of Islam.
must,noun,The definition of a must is something that has to be done.
,verb,Must is used to express a requirement or a necessity.
mustard,noun,"yellow substance made from the seeds of a plant, used to flavour food"
mutable,adjective,"The definition of mutable is a person or thing that changes or can be changed, or changes often."
mutant,,
mutate,,
muted,,
mutilate,verb,"damage sb's body severely, esp by cutting or tearing off part of it"
mutinous,,
mutually,,
myopic,,
myself,pronoun,Myself means your happy and healthy state.
,pronoun,Myself is how you talk about yourself when speaking or writing.
mystification,,
mystify,verb,make sb confused because they do not understand sth
mythical,,
mythological,,
nab,verb,catch sb doing wrong
,verb,take or get sth
naivety,,
name,noun,"The definition of a name is a word or phrase that labels a person, place or thing."
,verb,"Name is defined as to give a title to a person, place or thing."
nanny,noun,woman employed to look after children
nape,noun,back of the neck
napkin,noun,piece of cloth or paper used at meals for protecting your clothes and wiping your hands and lips
nappy,noun,piece of cloth or padding folded round a baby's bottom to absorb waste matter
narrowly,,
nasa,abbreviation,"NASA is defined as an acronym for the National Aeronautics and Space Administration, the federal agency that is responsible for aerospace research, aeronautics, and the civilian space program."
nasal,adjective,of or in the nose
natation,,
national curriculum,,
national park,,
nationalist,,
nationally,,
nationwide,,
natty,,
naturalistic,,
naturally,adverb,in a way that you would expect; of course
,adverb,without artificial help
,adverb,as a skill from birth
,adverb,in a relaxed and normal way
nauseous,adjective,"The definition of nauseous is a feeling of being sick and feeling as if you need to vomit, or something disgusting or sickening."
naval,adjective,of a navy
navel,noun,small hollow in the middle of the stomach
navigable,adjective,"(of a river, etc) wide and deep enough for ships to travel on"
navigator,,
navy,noun,"part of a country's armed forces that fights at sea, and the ships that it uses"
,adjective,dark blue
Nazi,adjective,"Nazi is defined as something that relates to the German fascist political group founded in 1919, supported by Adolf Hitler and abolished in 1945."
,noun,"The definition of a Nazi is a person who belongs to, supports or acts like a member of Hitler's National Socialist German Workers' Party."
near,adjective,"The definition of near is close in distance, time or relationship."
,adverb,Near is defined as at a relatively close distance in space or time.
,verb,Near means to get closer.
nearly,,
necessitate,verb,make sth necessary
neck,noun,part of the body that joins the head to the shoulders
,noun,part of a piece of clothing that fits around the neck
,noun,long narrow part of sth
,noun,be very deeply involved in sth
,noun,level with sb in a race or competition
,noun,risk/save your life
,verb,(of couples) hug and kiss each other
,noun,"decorative string of beads, jewels, etc worn round the neck"
necklace,,
necktie,,
necromancy,,
nectar,noun,sweet liquid collected by bees from plants
need,noun,The definition of a need is a desire or requirement.
,verb,"Need is defined as to want, desire or require."
needless,,
needlework,,
negation,noun,act of denying or refusing sth
neglectful,,
Negro,,
neighbour,noun,"Neighbour is an alternative spelling of the word neighbor, which is a term used to refer to people who live in your community and who are close to you."
neighbourhood,,
neighbouring,,
neoclassical,,
Neolithic,,
nether,,
networking,noun,"Networking is defined as the act of making contact and exchanging information with other people, groups and institutions to develop mutually beneficial relationships, or to access and share information between computers."
neural,,
neuroscience,,
neurotransmitter,,
neutralise,,
neutrality,,
neutralize,,
neutrino,,
never,adverb,"Never is defined as absolutely not, or not ever."
new,adjective,The definition of new is coming into being for the first time.
,noun,New is defined as something that has recently come into being.
new world,,
new year,,
newborn,,
newcomer,,
newfound,,
news conference,,
newscast,,
newsletter,,
newsprint,,
newsreel,,
newsstand,,
next,adjective,The definition of next is just before or after.
,adverb,Next is defined as in the space immediately before or after.
,noun,Next means the one immediately following.
next door,,
nhs,,
nib,noun,metal point of a pen
nice,adjective,The definition of nice is someone who is pleasant or agreeable or something that is in good condition and that is pleasing.
nicely,,
nicety,noun,small distinction
nickel,noun,hard silver-white metal
,noun,coin of the US or Canada worth 5 cents
nickname,noun,informal name used instead of sb's real name
,verb,give a nickname to sb/sth
nicotine,noun,poisonous substance found in tobacco
niggle,,
nightclub,,
nightgown,,
nightingale,noun,small bird that sings sweetly
nightly,,
nightshade,,
nightside,,
nine,number,9
nineteen,number,19
,number,"talk, etc without stopping"
nineteenth,,
ninetieth,,
ninety,number,90
,noun,"numbers, years or temperatures from 90 to 99"
ninth,,
nipple,noun,round point of the breast
,noun,"something like a nipple, eg on a baby's bottle"
nitrate,,
nitrogen,noun,colourless gas that is found in large quantities in the earth's atmosphere
no,adjective,"The definition of no is not any, not one or hardly any."
,adverb,No means the opposite of yes and is used to express denial or disagreement.
,interjection,No is defined as a way to express disbelief or refusal.
no one,,
No.,abbreviation,number
nobly,,
nobody,pronoun,not anybody; no person
,noun,unimportant person
nominate,verb,"suggest officially that sb should be chosen for a role, prize, position, etc"
nomination,,
nominee,noun,"person who has been formally suggested for a job, prize, etc"
,noun,"person in whose name money is invested in a company, etc"
non,interjection,Non is defined as no.
,prefix,Non is defined as not or no.
nonchalance,noun,Nonchalance is a state in which you are unfazed or unaffected.
noncommittal,adjective,The definition of noncommittal is a person or behavior that is vague and that does not reveal a commitment to something or position on something.
nonentity,noun,unimportant person
nonexistent,,
nonliterate,,
nonprofessional,,
nonstop,,
nonviable,,
nonviolence,,
nonviolent,,
Nordic,,
norepinephrine,,
normalization,,
normalize,,
normally,,
north,noun,"point of the compass, to the left of a person watching the sun rise"
,noun,"northern part of a country, a region or the world"
,adjective,in or towards the north
,adjective,(of winds) blowing from the north
,adverb,towards the north
,adverb,(direction or region) halfway between north and east
,adverb,in or towards the north
,adverb,(of winds) blowing from the north
,adjective,of the north part of the world or a particular country
,noun,person born or living in the northern part of a country
,adjective,towards the north
,adverb,(direction or region) halfway between north and west
north-east,,
north-west,,
northeast,,
northeastern,,
northern,,
northwards,,
northwest,,
northwestern,,
nostril,noun,either of the two openings into the nose
not,adverb,Not is defined as a word used with a verb to make a negative.
notably,,
notary,noun,"official, esp a lawyer, with authority to witness documents"
notate,verb,To notate is to make a note in words or music.
nothingness,,
nought,noun,the figure 0
,noun,nothing
nourishment,,
nov.,,
novelist,,
novella,,
November,noun,the 11th month of the year (See examples of use at
now,adverb,Now is defined as at the present time or immediately.
nowhere,adverb,not in or to any place
nozzle,noun,shaped end of a hose through which liquid is directed
nudity,,
number one,,
numeric,,
numerical,adjective,of or expressed in numbers
numismatist,,
nun,noun,"member of a female religious community, living in a convent"
nursery,noun,place where young children are cared for while their parents are at work
,noun,place where young plants are grown
,noun,poem or song for young children
,noun,school for children from 2 to 5 years old
nutritional,,
nutritious,,
nuzzle,verb,"touch or rub sb/sth gently with the nose, esp to show affection"
nylon,noun,"very strong artificial material, used in clothes, rope, etc"
oaf,noun,awkward or stupid person
oak,noun,large tree that produces small nuts
,noun,hard wood of the oak tree
obelisk,noun,tall pointed stone column
objectionable,,
objectively,,
objectivity,,
oboe,noun,wooden instrument that you blow into to make sound
obsequy,,
observable,,
observance,noun,"keeping of a law, custom, festival, etc"
,noun,part of a religious ceremony
observational,,
observatory,noun,"building in which scientists watch and study the stars, etc"
obsidian,,
obsolescent,adjective,becoming out of date
obstetrician,,
obstinacy,,
obviously,,
occasional,adjective,"happening sometimes, but not often"
Occident,noun,"the western part of the world, esp Europe and America"
occultation,,
occupancy,,
occupant,noun,person who lives or works in a house or room
occupy,verb,"fill or use a space, an area or an amount of time"
,verb,"live or work in a room, house or building"
,verb,"take control of a country, town, etc, esp by military force"
,verb,keep yourself busy
,verb,have an official job or position
Oceania,,
oceanic,,
oceanographer,,
oct.,,
October,noun,October is the tenth month of the year.
octogenarian,,
oculist,,
oddity,,
oddly,,
odorous,,
odour,noun,smell
of,preposition,Of is defined as to indicate ownership or distance from something.
of course,,
off,adjective,"The definition of off is something that is no longer attached, no longer in operation or no longer happening."
,adverb,Off is defined as to keep someone or something away or separate.
,adverb,Off means to be no longer in a functioning position.
,adverb,Off is defined as to be less than.
off-hand,,
offence,noun,"Offence is another word for offense, which is a wrongdoing or discourtesy."
offender,,
officer,noun,"The definition of an officer is a person in a position of authority in a business, the police, the military or other group."
,verb,"Officer is defined as to command over with authority, or provide with authority figures."
offstage,,
often,adverb,The definition of often is many times or frequently.
oftentimes,,
oh,interjection,"Oh is defined as something said to show surprise, to attract attention, or to show you understand."
oilfield,,
oily,,
ointment,noun,smooth substance rubbed on the skin to heal a wound
OK,adjective,The definition of OK is all right or correctly.
,adverb,Ok means all right or correctly.
,interjection,OK is defined as all right.
,noun,OK is an approval.
,verb,OK is defined as to approve.
okay,,
old,adjective,The definition of old is advanced in age or having been around for awhile.
,noun,Old is used to mean people advanced in age collectively or days past.
old boy,,
old fashioned,,
olive oil,,
Olympiad,,
Olympic,,
olympic games,,
Olympics,,
omelette,noun,eggs beaten together and fried
on,adjective,The definition of on is in action or performing a function.
,preposition,On is defined as to show position.
oncoming,adjective,coming towards you
one,noun,"One is a single person, unit or thing or the first number in a counting series."
one-off,noun,The definition of a one-off is something that happens only a single time.
one-sided,,
one-time,,
oneself,pronoun,used as a reflexive when people in general cause and are also affected by an action
,pronoun,used to emphasize
,pronoun,alone
,pronoun,without help
onion,noun,"round vegetable with a strong smell and flavour, used in cooking"
onlooker,noun,person who watches sth happening
only,adjective,The definition of only is alone or by itself.
,adverb,Only is defined as no other or nothing more.
,conjunction,Only means but or except that.
onstage,,
onward,adjective,continuing or moving forward
onwards,,
ooh,,
op,noun,"Op, short for optical art, is a style of art that uses figures to create illusions."
opal,noun,white or almost clear precious stone
opalescent,,
